failure_category,task,method,phase4_sr,phase4_gcr,example_trace,phase5_design_addresses_it
C_impossible_or_unrepresentable_goal,brush teeth,HPAF-Decomp-Static,0,0.4545454545454546,No stable graph-level completion for: Use the prepared toothbrush to brush teeth | Rinse the toothbrush after use,Partly: illegal decompositions are rejected; unavoidable task-level ambiguities are frozen and disclosed.
D_unsupported_action,brush teeth,HPAF-Decomp-Static,0,0.4545454545454546,"puton('toothpaste', 'toothbrush'): hallucinated action: puton | use('toothbrush'): hallucinated action: use",Yes: all Phase-5 prompts and the executor share a source-audited action set.
E_action_precondition_failure,brush teeth,HPAF-Decomp-Static,0,0.4545454545454546,"grab('toothpaste'): <character> (1) does not have a free hand when executing ""[GRAB] <toothpaste> (62) [0]"" | grab('toothbrush'): <character> (1) does not have a free hand when executing ""[GRAB] <toothbrush> (65) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
J_recovery_parser_error,throw away apple,ProgPrompt-Full,1,1.0,else: find('apple'): hallucinated action: else,Yes: Phase-5 interpreter preserves and explicitly parses assertion/recovery branches.
B_decomposition_granularity_error,throw away apple,HPAF-Decomp-Static,1,1.0,First-level prerequisite task(s): Locate the apple in the environment | Locate the garbage can | Open the garbage can,Yes: TaskAgent is restricted to verifiable semantic state transitions.
E_action_precondition_failure,throw away apple,HPAF-Decomp-Static,1,1.0,"open('garbagecan'): <garbagecan> (229) is not closed when executing ""[OPEN] <garbagecan> (229) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
I_stale_state_generation_error,throw away apple,HPAF-Decomp-Static,1,1.0,"open('garbagecan'): <garbagecan> (229) is not closed when executing ""[OPEN] <garbagecan> (229) [0]""",Yes: Static is removed; Hierarchical generation always receives current state.
E_action_precondition_failure,make toast,ProgPrompt-Full,1,1.0,"lookat('toaster'): <character> (1) does not face <toaster> (308) when executing ""[LOOKAT] <toaster> (308) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
J_recovery_parser_error,make toast,ProgPrompt-Full,1,1.0,else: switchon('toaster'): hallucinated action: else,Yes: Phase-5 interpreter preserves and explicitly parses assertion/recovery branches.
C_impossible_or_unrepresentable_goal,make toast,HPAF-Decomp-Static,1,1.0,No stable graph-level completion for: Wait for the toasting process to complete and the toaster to turn off,Partly: illegal decompositions are rejected; unavoidable task-level ambiguities are frozen and disclosed.
D_unsupported_action,make toast,HPAF-Decomp-Static,1,1.0,"walktowards('toaster'): Unknown action ""WALKTOWARDS""",Yes: all Phase-5 prompts and the executor share a source-audited action set.
E_action_precondition_failure,make toast,HPAF-Decomp-Static,1,1.0,"lookat('toaster'): <character> (1) does not face <toaster> (308) when executing ""[LOOKAT] <toaster> (308) [0]"" | putback('breadslice', 'kitchencounter'): <character> (1) is not close to <kitchencounter> (238) when executing ""[PUTBACK] <breadslice> (309) <kitchencounter> (238) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
A_benchmark_goal_artifact,eat chips on the sofa,HPAF-Decomp-Static,0,0.875,Official missing set contains only endpoint artifacts: character HOLDS_RH chips,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
B_decomposition_granularity_error,eat chips on the sofa,HPAF-Decomp-Static,0,0.875,First-level prerequisite task(s): Locate and obtain the chips | Move to the sofa,Yes: TaskAgent is restricted to verifiable semantic state transitions.
C_impossible_or_unrepresentable_goal,eat chips on the sofa,HPAF-Decomp-Static,0,0.875,No stable graph-level completion for: Eat the chips while positioned on the sofa,Partly: illegal decompositions are rejected; unavoidable task-level ambiguities are frozen and disclosed.
E_action_precondition_failure,eat chips on the sofa,HPAF-Decomp-Static,0,0.875,"lookat('chips'): <character> (1) does not face <chips> (329) when executing ""[LOOKAT] <chips> (329) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
J_recovery_parser_error,put salmon in the fridge,ProgPrompt-Full,1,1.0,else: find('salmon'): hallucinated action: else | else: find('fridge'): hallucinated action: else,Yes: Phase-5 interpreter preserves and explicitly parses assertion/recovery branches.
B_decomposition_granularity_error,put salmon in the fridge,HPAF-Decomp-Static,1,1.0,First-level prerequisite task(s): Open the fridge | Close the fridge,Yes: TaskAgent is restricted to verifiable semantic state transitions.
E_action_precondition_failure,put salmon in the fridge,HPAF-Decomp-Static,1,1.0,"open('fridge'): <fridge> (305) is not closed when executing ""[OPEN] <fridge> (305) [0]"" | close('fridge'): <fridge> (305) is not open when executing ""[CLOSE] <fridge> (305) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
I_stale_state_generation_error,put salmon in the fridge,HPAF-Decomp-Static,1,1.0,"open('fridge'): <fridge> (305) is not closed when executing ""[OPEN] <fridge> (305) [0]"" | close('fridge'): <fridge> (305) is not open when executing ""[CLOSE] <fridge> (305) [0]""",Yes: Static is removed; Hierarchical generation always receives current state.
E_action_precondition_failure,wash the plate,ProgPrompt-Full,1,1.0,"grab('plate'): <plate> (314) is inside other closed thing when executing ""[GRAB] <plate> (314) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
J_recovery_parser_error,wash the plate,ProgPrompt-Full,1,1.0,else: switchoff('faucet'): hallucinated action: else | else: find('dishwashingliquid'): hallucinated action: else,Yes: Phase-5 interpreter preserves and explicitly parses assertion/recovery branches.
B_decomposition_granularity_error,wash the plate,HPAF-Decomp-Static,0,0.18181818181818177,First-level prerequisite task(s): Bring the plate to the sink area,Yes: TaskAgent is restricted to verifiable semantic state transitions.
C_impossible_or_unrepresentable_goal,wash the plate,HPAF-Decomp-Static,0,0.18181818181818177,No stable graph-level completion for: Rinse the plate to remove soap residue,Partly: illegal decompositions are rejected; unavoidable task-level ambiguities are frozen and disclosed.
D_unsupported_action,wash the plate,HPAF-Decomp-Static,0,0.18181818181818177,"walktowards('sink'): Unknown action ""WALKTOWARDS"" | wash('plate'): hallucinated action: wash",Yes: all Phase-5 prompts and the executor share a source-audited action set.
E_action_precondition_failure,wash the plate,HPAF-Decomp-Static,0,0.18181818181818177,"grab('dishwashingliquid'): <character> (1) does not have a free hand when executing ""[GRAB] <dishwashingliquid> (267) [0]"" | grab('washingsponge'): <character> (1) does not have a free hand when executing ""[GRAB] <washingsponge> (266) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
I_stale_state_generation_error,wash the plate,HPAF-Decomp-Static,0,0.18181818181818177,"switchon('faucet'): <faucet> (248) is not off when executing ""[SWITCHON] <faucet> (248) [0]""",Yes: Static is removed; Hierarchical generation always receives current state.
J_recovery_parser_error,bring coffeepot and cupcake to the coffee table,ProgPrompt-Full,0,0.625,else: find('cupcake'): hallucinated action: else | else: grab('cupcake'): hallucinated action: else,Yes: Phase-5 interpreter preserves and explicitly parses assertion/recovery branches.
A_benchmark_goal_artifact,bring coffeepot and cupcake to the coffee table,HPAF-Decomp-Static,0,0.8125,Official missing set contains only endpoint artifacts: character CLOSE coffeepot | coffeepot CLOSE character | coffeepot INSIDE bedroom,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
B_decomposition_granularity_error,bring coffeepot and cupcake to the coffee table,HPAF-Decomp-Static,0,0.8125,First-level prerequisite task(s): Locate the coffeepot in the environment | Locate the cupcake in the environment,Yes: TaskAgent is restricted to verifiable semantic state transitions.
B_decomposition_granularity_error,watch tv,HPAF-Decomp-ClosedLoop,0,0.5,First-level prerequisite task(s): Locate the remote control,Yes: TaskAgent is restricted to verifiable semantic state transitions.
C_impossible_or_unrepresentable_goal,watch tv,HPAF-Decomp-ClosedLoop,0,0.5,No stable graph-level completion for: Sit on the sofa to watch TV,Partly: illegal decompositions are rejected; unavoidable task-level ambiguities are frozen and disclosed.
E_action_precondition_failure,watch tv,HPAF-Decomp-ClosedLoop,0,0.5,"switchon('tv'): <character> (1) is not close to <tv> (264) when executing ""[SWITCHON] <tv> (264) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
A_benchmark_goal_artifact,turn off light,HPAF-Decomp-ClosedLoop,0,0.5,Official missing set contains only endpoint artifacts: character INSIDE bathroom,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
C_impossible_or_unrepresentable_goal,brush teeth,HPAF-Decomp-ClosedLoop,0,0.36363636363636365,No stable graph-level completion for: Use the prepared toothbrush to brush teeth | Rinse the toothbrush after brushing teeth,Partly: illegal decompositions are rejected; unavoidable task-level ambiguities are frozen and disclosed.
E_action_precondition_failure,brush teeth,HPAF-Decomp-ClosedLoop,0,0.36363636363636365,"open('bathroomcabinet'): <bathroomcabinet> (48) is not closed when executing ""[OPEN] <bathroomcabinet> (48) [0]"" | grab('toothpaste'): <bathroomcabinet> (48) is not closed when executing ""[OPEN] <bathroomcabinet> (48) [0]"",<character> (1) is not close to <toothpaste> (62) when executing ""[GRAB] <toothpaste> (62) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
B_decomposition_granularity_error,throw away apple,HPAF-Decomp-ClosedLoop,0,0.0,First-level prerequisite task(s): Locate the apple in the environment | Locate the garbage can | Open the garbage can,Yes: TaskAgent is restricted to verifiable semantic state transitions.
E_action_precondition_failure,throw away apple,HPAF-Decomp-ClosedLoop,0,0.0,"grab('apple'): <character> (1) is not close to <apple> (438) when executing ""[GRAB] <apple> (438) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
A_benchmark_goal_artifact,make toast,HPAF-Decomp-ClosedLoop,0,0.0,Official missing set contains only endpoint artifacts: character HOLDS_RH breadslice,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
C_impossible_or_unrepresentable_goal,make toast,HPAF-Decomp-ClosedLoop,0,0.0,No stable graph-level completion for: Wait for the toasting process to complete and the toaster to turn off,Partly: illegal decompositions are rejected; unavoidable task-level ambiguities are frozen and disclosed.
E_action_precondition_failure,make toast,HPAF-Decomp-ClosedLoop,0,0.0,"lookat('toaster'): <character> (1) does not face <toaster> (308) when executing ""[LOOKAT] <toaster> (308) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
B_decomposition_granularity_error,eat chips on the sofa,HPAF-Decomp-ClosedLoop,1,1.0,First-level prerequisite task(s): Locate and obtain the chips | Move to the sofa,Yes: TaskAgent is restricted to verifiable semantic state transitions.
C_impossible_or_unrepresentable_goal,eat chips on the sofa,HPAF-Decomp-ClosedLoop,1,1.0,No stable graph-level completion for: Eat the chips while on the sofa,Partly: illegal decompositions are rejected; unavoidable task-level ambiguities are frozen and disclosed.
D_unsupported_action,eat chips on the sofa,HPAF-Decomp-ClosedLoop,1,1.0,"walktowards('sofa'): Unknown action ""WALKTOWARDS""",Yes: all Phase-5 prompts and the executor share a source-audited action set.
E_action_precondition_failure,eat chips on the sofa,HPAF-Decomp-ClosedLoop,1,1.0,"sit('sofa'): <character> (1) is sitting when executing ""[SIT] <sofa> (368) [0]"" | drink('chips'): <character> (1) is sitting when executing ""[SIT] <sofa> (368) [0]"",<chips> (329) is not drinkable or not recipient when executing ""[DRINK] <chips> (329) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
G_verified_but_stopped,eat chips on the sofa,HPAF-Decomp-ClosedLoop,1,1.0,"Eat the chips while on the sofa (boundary_executable=False, can_continue=False)",Yes: verified=True is the continuation gate; Exec is diagnostic only.
B_decomposition_granularity_error,put salmon in the fridge,HPAF-Decomp-ClosedLoop,0,0.0,First-level prerequisite task(s): Open the fridge | Close the fridge,Yes: TaskAgent is restricted to verifiable semantic state transitions.
D_unsupported_action,put salmon in the fridge,HPAF-Decomp-ClosedLoop,0,0.0,"walktowards('salmon'): Unknown action ""WALKTOWARDS""",Yes: all Phase-5 prompts and the executor share a source-audited action set.
G_verified_but_stopped,put salmon in the fridge,HPAF-Decomp-ClosedLoop,0,0.0,"Retrieve the salmon from its current location (boundary_executable=False, can_continue=False)",Yes: verified=True is the continuation gate; Exec is diagnostic only.
B_decomposition_granularity_error,wash the plate,HPAF-Decomp-ClosedLoop,0,0.0,First-level prerequisite task(s): Bring the plate to the sink area,Yes: TaskAgent is restricted to verifiable semantic state transitions.
E_action_precondition_failure,wash the plate,HPAF-Decomp-ClosedLoop,0,0.0,"switchon('faucet'): <character> (1) is not close to <faucet> (248) when executing ""[SWITCHON] <faucet> (248) [0]"" | grab('washingsponge'): <character> (1) does not have a free hand when executing ""[GRAB] <washingsponge> (266) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
A_benchmark_goal_artifact,bring coffeepot and cupcake to the coffee table,HPAF-Decomp-ClosedLoop,0,0.6875,Official missing set contains only endpoint artifacts: character CLOSE coffeepot | character CLOSE floor | character INSIDE bedroom | coffeepot CLOSE character,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
B_decomposition_granularity_error,bring coffeepot and cupcake to the coffee table,HPAF-Decomp-ClosedLoop,0,0.6875,First-level prerequisite task(s): Locate and retrieve the coffeepot from its current position in the environment | Locate and retrieve the cupcake from its current position in the environment,Yes: TaskAgent is restricted to verifiable semantic state transitions.
A_benchmark_goal_artifact,microwave salmon,ProgPrompt-Full,0,0.33333333333333337,Official missing set contains only endpoint artifacts: character CLOSE kitchencabinet | kitchencabinet CLOSE character,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
J_recovery_parser_error,microwave salmon,ProgPrompt-Full,0,0.33333333333333337,else: find('salmon'): hallucinated action: else | else: find('salmon'): hallucinated action: else,Yes: Phase-5 interpreter preserves and explicitly parses assertion/recovery branches.
A_benchmark_goal_artifact,microwave salmon,HPAF-Decomp-Static,0,0.0,Official missing set contains only endpoint artifacts: character CLOSE kitchencabinet | character HOLDS_RH salmon | kitchencabinet CLOSE character,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
B_decomposition_granularity_error,microwave salmon,HPAF-Decomp-Static,0,0.0,First-level prerequisite task(s): Open the microwave | Close the microwave,Yes: TaskAgent is restricted to verifiable semantic state transitions.
E_action_precondition_failure,microwave salmon,HPAF-Decomp-Static,0,0.0,"open('microwave'): <microwave> (313) is not closed when executing ""[OPEN] <microwave> (313) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
I_stale_state_generation_error,microwave salmon,HPAF-Decomp-Static,0,0.0,"open('microwave'): <microwave> (313) is not closed when executing ""[OPEN] <microwave> (313) [0]""",Yes: Static is removed; Hierarchical generation always receives current state.
A_benchmark_goal_artifact,microwave salmon,HPAF-Decomp-ClosedLoop,0,0.0,Official missing set contains only endpoint artifacts: character CLOSE kitchencabinet | character HOLDS_RH salmon | kitchencabinet CLOSE character,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
B_decomposition_granularity_error,microwave salmon,HPAF-Decomp-ClosedLoop,0,0.0,First-level prerequisite task(s): Open the microwave door | Close the microwave door,Yes: TaskAgent is restricted to verifiable semantic state transitions.
